"Activity" "Subject" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()"
"LAYING" 1 0.268476537071531 -0.0192388582262661 -0.108344386655365 -0.9645358050701 -0.946721952004292 -0.947347000625751 -0.28332905958083 0.589045290490701 0.473327230575107 -0.949902798369099 -0.970972454031474 -0.956049331476395 0.0792948884374821 0.00999586371640916 -0.00287326417481974 -0.979814453619456 -0.971098598555079 -0.979837644320458 -0.0179057306566472 -0.0877917839906152 0.119812716130186 -0.965673115537911 -0.963415040701001 -0.964200759756795 -0.101325096624607 -0.0390204002923019 -0.062331816088412 -0.973969683118741 -0.979527157038627 -0.983547448183119 -0.950259310851216 -0.936715108902718 -0.950259310851216 -0.936715108902718 -0.979529332775393 -0.973616263261803 -0.942295152818312 -0.937500808266094 -0.982154530643777 -0.973906832188841 -0.969283279656652 -0.955329394304721 -0.960504112389127 -0.963006402393419 -0.945691916911302 -0.944351970450644 -0.204945255434854 0.124211321503491 0.168006041577024 -0.979743035436338 -0.971394464492132 -0.976894283462089 -0.981801072260372 -0.972935288669528 -0.981411873719599 0.107177993373405 0.0105238551056223 0.0558231053794993 -0.959808869698569 -0.96663671769671 -0.964119075665236 -0.967847367639485 -0.962135424005722 -0.967560602188841 -0.0124511177749213 -0.076640528011588 0.0876248789614878 -0.951920795851216 -0.938901090429185 0.107344128108627 -0.974083525236051 -0.972041591959943 0.277070206730472 -0.951616706280401 -0.939553972752504 -0.0114061789342775 -0.975729968426323 -0.973281946895565 0.144076425399041
"SITTING" 1 0.274851805798413 -0.011885770522873 -0.105674738844603 -0.984665198444444 -0.938306489109524 -0.951365639984127 0.862998803301587 0.10468896064619 0.130514533862159 -0.980774192111111 -0.957375656073016 -0.955489655590476 0.075978549305873 0.00413673587676984 -0.00404498613142032 -0.987343665380952 -0.978227730761905 -0.985579878285714 -0.0382868829201587 -0.0711121354506349 0.0830265537870159 -0.984792646333333 -0.972488997444444 -0.962276750301587 -0.0952587094063492 -0.0412207222539841 -0.0523094817485079 -0.990434392825397 -0.989766953587302 -0.987174224698413 -0.960966641904762 -0.946195518650794 -0.960966641904762 -0.946195518650794 -0.985529394634921 -0.983310028253968 -0.950688084190476 -0.956794858031746 -0.991198858015873 -0.988796343222222 -0.984890654095238 -0.952006241295238 -0.964759011304762 -0.984677012365079 -0.935473108411111 -0.947856191549206 -0.0553628615962222 0.0645285821857302 0.127792859554242 -0.987552598349206 -0.978321815047619 -0.983226154507936 -0.988285094476191 -0.979776333634921 -0.986556381190476 0.180856868882948 -0.0376027101652222 0.0342194467318206 -0.982282438301587 -0.977232061825397 -0.965268691269841 -0.985671156047619 -0.970227440968254 -0.964865593444444 0.0858949758174762 -0.159223643295873 0.000705770673095237 -0.958657152731746 -0.94808547344127 0.142000617861867 -0.983292653142857 -0.982246717761905 0.305170946894286 -0.969046851587302 -0.956754933730159 -0.0507957435092857 -0.989446137492063 -0.988471666444444 0.213503396656778
"STANDING" 1 0.278882600384047 -0.0165639482137666 -0.107895584906219 -0.988010737119645 -0.948167787119645 -0.955116445254062 0.937704378788774 -0.191597747468242 -0.0544676137068833 -0.988435441506647 -0.974985027976366 -0.963681880605613 0.0752444619658936 0.00915070843323634 -0.00365035032606647 -0.985425378641063 -0.972652082333826 -0.985006808389956 -0.0270753319614623 -0.0699175946107829 0.0819434536447563 -0.956218805228951 -0.971906217976366 -0.969332018744461 -0.0999637568556869 -0.0417031317443131 -0.0527212580447858 -0.977224431669129 -0.986238824387002 -0.984404961624815 -0.965629093988183 -0.960240920871492 -0.965629093988183 -0.960240920871492 -0.983089446912851 -0.980155293781388 -0.953467119556869 -0.944439483633678 -0.985410199660266 -0.981930330635155 -0.986124464977843 -0.956247133825702 -0.968893559261448 -0.989007365878877 -0.946919675716396 -0.951173051506647 0.0155474249093648 -0.0053418157545938 0.0864291103614328 -0.985403822141802 -0.972655898700148 -0.982394789867061 -0.986824121299852 -0.974765954711965 -0.986285736587888 0.23014163433229 -0.0852659859024815 0.0412732169257903 -0.956536966927622 -0.975085923013294 -0.970677320221566 -0.956885181905465 -0.970436784756278 -0.9717701005613 -0.208617808595761 -0.167545490888227 -0.0542004526041196 -0.967528626706056 -0.962115298936485 0.0850803540772526 -0.979604941595273 -0.979809614357459 0.311216303236632 -0.960765061019202 -0.944357937754801 -0.158743645644225 -0.982862580605613 -0.981758593914328 0.142571911209173
"WALKING" 1 0.27486626812983 -0.0181502805692427 -0.109248084893354 -0.297977235408362 -0.0115931356440031 -0.294659079364096 0.925749440293663 -0.211044961839258 -0.0874039873987635 -0.977548137357032 -0.967108636707882 -0.953467873106646 0.0768141832460587 0.0159879247920889 0.000500165218823803 -0.240875542081747 -0.100118311187821 -0.508739675237558 -0.0314517570124884 -0.0704807621378563 0.0827784315209034 -0.475346415643277 -0.314230233795379 -0.33346364628609 -0.0957028712672751 -0.0432956061531376 -0.050179888227527 -0.372498531520402 -0.530307355090572 -0.467580627270325 -0.159781889284389 -0.32479709684493 -0.159781889284389 -0.32479709684493 -0.233354587857355 -0.215517972188424 -0.259706704330139 -0.375561616968161 -0.467011075591654 -0.529404483538485 -0.273654211132148 -0.0327078609057187 -0.361673064999227 -0.309067218527357 -0.064687543975085 -0.31600607612626 -0.304726129587326 0.0491172129519722 0.0646541762449784 -0.290723024409227 -0.164011695800342 -0.475313302655332 -0.257224548210309 -0.0915754055774343 -0.540950349351917 -0.285237410931376 -0.354684232559212 -0.204429362592597 -0.354903199560587 -0.372903202755178 -0.308756621258145 -0.514788800117094 -0.288527749036615 -0.404858236219474 -0.079077881663524 -0.153426180774915 -0.116235562572411 -0.264824483908532 -0.467298189296754 0.162619381551767 -0.213448114890386 -0.22513475375459 0.0714820914467388 -0.408680733720247 -0.463029499799227 0.150237907662766 -0.532915734440495 -0.559241988805255 0.144528287572674
"WALKING_DOWNSTAIRS" 1 0.287848290836 -0.015681926937815 -0.107769898562756 0.124130123173742 0.05342127493036 -0.1657559183581 0.92016145912 -0.184651717426 -0.08479463114146 -0.94534781562 -0.93407171654 -0.90927184754 0.08035971604533 0.00259335247368 -0.01088887018724 -0.00498958981912 -0.09317849113758 -0.38409833932616 -0.0773914937849 -0.05965949119958 0.080486188862 -0.3448269833166 -0.3264473679304 -0.235210302817 -0.06803678035936 -0.05306677030294 -0.05241888448584 -0.4519943916426 -0.459494969202 -0.33911525233814 0.12552860835938 0.1208289703378 0.12552860835938 0.1208289703378 -0.09838500316406 -0.00619839702858 -0.11175273171948 -0.26572574302828 -0.428947793592 -0.4654137737948 0.04514379876374 0.0409766737466 -0.19735512504974 0.15091417268194 -0.0083807487316 -0.21827191972756 -0.3896970770594 -0.01568701697426 0.09316007312044 -0.05208586459058 -0.1336491227936 -0.326495335928 -0.046426870327326 -0.1113344950233 -0.441031194328 -0.31920473996 -0.4044309211008 -0.214843637484 -0.25777699832902 -0.3043265368362 -0.1410678788674 -0.3775320490392 -0.34837618625616 -0.3405905214388 -0.2090250298296 -0.0467637160551 -0.0734425355368 0.1585781404718 -0.0782599655142 0.04321060546405 0.0154860813578 -0.04421395204352 0.028349879403746 -0.307686734604 -0.37043704597824 0.053798499680454 -0.45573465884792 -0.518430325843 0.11341586163978
"WALKING_UPSTAIRS" 1 0.2609497352 -0.0237442544181923 -0.11675033986125 -0.248402957224339 -0.00605334066625 -0.141030802427679 0.863515035303571 -0.281569884107143 -0.145628491629791 -0.949092600785714 -0.928400063053571 -0.902500229267857 0.0798287078185536 0.010386717392 -0.00450629540125 -0.3778666979625 -0.34033136843625 -0.642029135791071 -0.00177986857451786 -0.0820061337053179 0.0558883032176071 -0.48664604953875 -0.254441015558393 -0.287740607208036 -0.108151709203625 -0.0409420285632857 -0.0479477356765 -0.590419539029286 -0.673882343910714 -0.59322512300375 -0.0951868545905536 -0.239150794265207 -0.0951868545905536 -0.239150794265207 -0.39976650446375 -0.40461011768 -0.158436256492857 -0.303985761113071 -0.622852890373393 -0.687411569196429 -0.303849606719125 -0.139090990061786 -0.373791083321607 -0.229284267509821 -0.00651962973494643 -0.0976625176719107 -0.445841545230714 -0.174209131552143 -0.313895613589179 -0.409296061247143 -0.370377594905357 -0.606886963103571 -0.401591514421054 -0.352899981717143 -0.676366051089286 -0.368743006946429 -0.467599626410714 -0.4441337859875 -0.43028008832375 -0.430002498098125 -0.345092151407143 -0.509470439046429 -0.174193702324107 -0.338625280510714 -0.243723822207143 -0.405299456159286 -0.2657156184625 -0.261820312455 -0.3468687337625 -0.0846268251478571 -0.369599569565357 -0.458305284323571 0.0588067735322321 -0.432185813746071 -0.3435632786075 -0.210397618866 -0.673529227142857 -0.730230915598214 0.111204836184768
"LAYING" 2 0.270626882683753 -0.0176863742048615 -0.106093451542317 -0.960741912632242 -0.94150191859068 -0.946319702384131 -0.427916575759446 0.623189401428212 0.62357679725063 -0.941529038073048 -0.951439923362846 -0.941616371006297 0.0812499768484887 0.0116919418455542 -0.00613951465051259 -0.983488187178841 -0.97643663884131 -0.982703664559194 -0.0178871754600252 -0.0950193911377834 0.122826651369018 -0.970908297329975 -0.966507700163728 -0.964845898853904 -0.100835104751385 -0.037712203876461 -0.0634920348938287 -0.981742902997481 -0.983586398564232 -0.98790640290932 -0.92839995877204 -0.928008545570529 -0.92839995877204 -0.928008545570529 -0.982566586725441 -0.979898746146096 -0.938445369445844 -0.945765273287154 -0.985673264382872 -0.982042396599496 -0.968293799282116 -0.953120324816121 -0.960039070579345 -0.958234855982368 -0.939512319100756 -0.943319868154786 -0.295260906460477 0.151625358439989 0.23854700389835 -0.983226688413098 -0.976428924282116 -0.980255589105793 -0.985364281309824 -0.978243567153652 -0.983774383186398 0.109635625722992 0.0150291925410819 0.0876088084174685 -0.968137260768262 -0.9718078252267 -0.967128732921914 -0.972062482279597 -0.964168280994962 -0.96746936395466 0.0099483867984131 -0.157232041676322 0.1544260171416 -0.947010493921914 -0.930003018910579 0.120649131518564 -0.979720439584383 -0.979135864924433 0.317276369103275 -0.960638180352645 -0.946224903463476 -0.0159751657231738 -0.982680494118388 -0.982263331032746 0.212907998839673
"SITTING" 2 0.274096735812162 -0.0140843293938784 -0.10684472873027 -0.986617434013514 -0.949034841370716 -0.946693733016216 0.888321506581081 0.111477218333859 0.172007045968959 -0.983347240445946 -0.9668710375 -0.952439815725676 0.0762601619958514 0.00747518424472054 -0.00164183385997297 -0.987230196337838 -0.977442820094595 -0.983900477405405 -0.0358777119555486 -0.0725200665158108 0.0739210956521622 -0.985494086783784 -0.970105997689189 -0.964406026581081 -0.0964177760662162 -0.040638199467127 -0.0501512355168622 -0.988973811972973 -0.987601324608108 -0.986394243405405 -0.962482685445946 -0.95078773963 -0.962482685445946 -0.95078773963 -0.984762960986487 -0.981884052743243 -0.954665198486486 -0.958704488391892 -0.989586162135135 -0.986677652189189 -0.98599558222973 -0.957483436148649 -0.962632629662162 -0.987001485283784 -0.947687611021622 -0.942370447318919 -0.0289220783584054 0.0836732165962432 0.0753644553537149 -0.987297042054054 -0.977323147972973 -0.981291113067568 -0.988352483324324 -0.979329309716216 -0.985144454040541 0.210150610938919 -0.046038537271473 0.0158320609619865 -0.982380187851351 -0.975183279878378 -0.966634950608108 -0.986534008594595 -0.967709071067568 -0.967037296256757 0.0556367320232432 -0.24212743541027 -0.00771506146236486 -0.960419230081081 -0.953209515705405 0.128877961105192 -0.981350683162162 -0.981487184175676 0.289059226245243 -0.969416194743243 -0.959229953216216 -0.0782018151533378 -0.987142736540541 -0.986726794283784 0.184991145701973
"STANDING" 2 0.278594557601523 -0.0168301845436777 -0.107471757321079 -0.985641358477157 -0.93530970142132 -0.943850532982234 0.937151874111675 -0.210673851523858 -0.00398638709885292 -0.989694757005076 -0.973419144974619 -0.957998813426396 0.0752563394352792 0.0101530676371497 -0.00396095393292893 -0.980343683477157 -0.963868513337563 -0.979259780114213 -0.0256643867467259 -0.0712791209864086 0.0807003337173858 -0.946764964111675 -0.96158355534264 -0.959639990774112 -0.100586602191117 -0.0418810280653553 -0.0532040507238071 -0.965242550736041 -0.980067963604061 -0.976878590634518 -0.957118452220812 -0.950755032423858 -0.957118452220812 -0.950755032423858 -0.977099086840101 -0.971413821548223 -0.944883327906091 -0.932475761624366 -0.977945227969543 -0.972795904733503 -0.982708162538071 -0.944314879467005 -0.958795212652284 -0.987113619670051 -0.934431491269036 -0.940117370063452 0.0368510229687005 -0.0308286569469162 0.0490191626831472 -0.980362902373096 -0.964101611738579 -0.97584545677665 -0.982171038337563 -0.966340273121827 -0.98137517035533 0.215538980438223 -0.146126749113642 0.00504242063280457 -0.944069295812183 -0.965242291535533 -0.960302251903553 -0.948377292271574 -0.959915073451777 -0.963228017538071 -0.242099765354607 -0.226263077958604 -0.0883851375976142 -0.958327178908629 -0.953887432271574 0.0514078839922843 -0.971183913515228 -0.970743881662437 0.238667160244137 -0.949319841357868 -0.933890002779188 -0.193490362963096 -0.97398418357868 -0.972989673845178 0.0706111354345939
"WALKING" 2 0.276922402717042 -0.018057469273614 -0.108725464870418 -0.331845357906752 -0.0483716661682476 -0.258032283521543 0.933467414308682 -0.213204226832797 -0.0215975892369775 -0.976403485691318 -0.967582282009646 -0.955161244244373 0.0765366620281833 0.0116878919185691 -0.00326728329480707 -0.288199950399775 -0.11001948952576 -0.435516947637621 -0.0416931747575884 -0.0644843777028617 0.0946886000203376 -0.477945621073955 -0.367813123434405 -0.334549482318006 -0.0877482970408151 -0.0476160821652412 -0.0594836903650322 -0.391127978326367 -0.49356562671865 -0.451009514701929 -0.181767086608032 -0.355842322563794 -0.181767086608032 -0.355842322563794 -0.243732396667042 -0.21406913757492 -0.286191432366543 -0.37969493186672 -0.455508080001608 -0.47468928547627 -0.314347984702653 -0.0517351972691318 -0.312831132806431 -0.340112106046142 -0.108866500212701 -0.287715326607396 -0.273445839592283 0.0534883991995338 0.108396015207568 -0.324859001170418 -0.170674445329904 -0.413287784688103 -0.314507687854662 -0.104594206396193 -0.457219946241318 -0.224257700254068 -0.340868744584566 -0.256181771133762 -0.354304485478617 -0.402142471094486 -0.313550559178939 -0.519208880122186 -0.354584926989871 -0.40374968763344 -0.058596214103119 -0.0637052248961576 -0.076322653484582 -0.287328405256109 -0.499866532508039 0.211964683064453 -0.218904886320804 -0.215094040563762 0.103392054167198 -0.400644224324148 -0.475509711334084 0.184685425786013 -0.505053802613537 -0.474459225381672 0.114093136879244
